Genre,Network,CPM,Spot Cost,# Downloads,Avg HHI,Daypart,Female %,Male %,Spot Length,Min Age,Max Age,Spend,Acquisitions,Client Count,CPA
Comedy,Washed Media,22.00,440.00,"20,000",75000.00,Thu,0.19,0.81,:60,18,34,5915.00,30.00,8.00,194.63
Society and Culture,Audioboom,30.00,4800.00,"160,000",100000.00,Mon,0.85,0.15,:60,18,45,39739.00,201.00,3.00,197.58
Comedy,Stitcher,29.41,12352.20,"420,000",100000.00,Mon;Thu,0.44,0.56,:60,18,65,52844.00,253.00,3.00,208.48
Comedy,Fannie Co,20.00,600.00,"30,000",,Tue;Fri,0.70,0.30,:60,18,29,9576.00,45.00,9.00,212.85
TV and Film,Audioboom,25.00,550.00,"22,000",100000.00,Mon,0.63,0.37,:60,18,45,1437.00,7.00,2.00,212.91
Comedy,Paragon Collective,20.00,10500.00,"525,000",,Mon,0.14,0.86,:60,28,28,10260.00,48.00,1.00,215.86
Sports,Kast Media,15.00,6375.00,"425,000",100000.00,Mon;Wed,0.10,0.90,:60,25,44,46017.00,205.00,4.00,224.33
Comedy,Rooster Teeth,29.41,7205.00,"245,000",90000.00,Wed,0.21,0.79,:60,18,35,16279.00,72.00,3.00,227.64
Society and Culture,Premiere Podcast,22.50,4413.26,"196,145",,Mon;Wed;Sat,0.67,0.33,:60,18,55,9219.00,40.00,1.00,231.40
Comedy,All Things Comedy,25.00,13750.00,"550,000",,Mon;Thu,0.09,0.91,:60,23,34,295569.00,1259.00,11.00,234.81
Business,Audioboom,30.00,2700.00,"90,000",85000.00,Mon;Tue;Wed;Thu;Fri;Sat;Sun,0.15,0.85,:60,18,49,72471.00,302.00,14.00,239.60
Comedy,Spotify USA Inc Podcast,39.60,32999.99,"833,333",,Wed,0.40,0.60,:60,,,83260.00,346.00,2.00,240.43
Society and Culture,Podcast One,25.86,3000.00,"115,999",150000.00,Mon;Tue;Wed;Thu;Fri,0.33,0.67,:60,,,79005.00,324.00,14.00,243.53
Comedy,Studio 71,23.00,4830.00,"210,000",80000.00,Wed,0.05,0.95,:60,18,45,36366.00,147.00,5.00,247.49
Comedy,Betches Media,34.11,4604.85,"135,000",75000.00,Wed,0.90,0.10,:60,18,34,36973.00,149.00,5.00,248.57
Sports,Kast Media,16.00,4640.00,"290,000",100000.00,Mon,0.10,0.90,:60,25,44,9180.00,37.00,2.00,249.12
Comedy,Dear Media,33.61,4705.88,"140,000",75000.00,Tue,0.95,0.05,:90,22,36,32737.00,131.00,4.00,250.84
